product_id,title,description,category,brand,price,rating,num_reviews,specifications,major_category
1,IKEA Kitchen Appliances 5506,Stylish and durable kitchen appliances perfect for everyday use.,Home>Kitchen Appliances,IKEA,9572,4.6,1435,{},Home
2,Godrej Interio Lighting 7912,High-quality lighting with premium features and excellent performance.,Home>Lighting,Godrej Interio,1267,3.8,1084,{},Home
3,Whirlpool Kitchen Appliances 4257,Premium kitchen appliances designed for comfort and style.,Home>Kitchen Appliances,Whirlpool,215574,4.2,619,{},Home
4,Xiaomi Gaming 7924,Advanced gaming with cutting-edge technology and modern design.,Electronics>Gaming,Xiaomi,45379,3.8,1613,{},Electronics
5,Adidas Revolution,High-quality footwear with premium features and excellent performance.,Fashion>Footwear,Adidas,4263,4.3,1938,"{""type"": ""Casual Shoes"", ""material"": ""Synthetic"", ""color"": ""Various"", ""style"": ""Retro""}",Fashion
6,Ray-Ban RS-X,Premium footwear designed for comfort and style.,Fashion>Footwear,Ray-Ban,14482,5.0,1801,"{""type"": ""Casual Shoes"", ""material"": ""Leather"", ""color"": ""Black"", ""style"": ""Casual""}",Fashion
7,Apple Gaming 7227,Advanced gaming with cutting-edge technology and modern design.,Electronics>Gaming,Apple,433281,4.8,383,{},Electronics
8,Zara Accessories 5374,High-quality accessories with premium features and excellent performance.,Fashion>Accessories,Zara,22502,4.6,384,{},Fashion
9,H&M Watches 4598,Advanced watches with cutting-edge technology and modern design.,Fashion>Watches,H&M,2376,4.7,1698,{},Fashion
10,H&M Watches 2084,Stylish and durable watches perfect for everyday use.,Fashion>Watches,H&M,52869,4.5,860,{},Fashion
11,Prestige Laundry 5339,Stylish and durable laundry perfect for everyday use.,Home>Laundry,Prestige,23394,4.3,1579,{},Home
12,Bosch Laundry 7543,Advanced laundry with cutting-edge technology and modern design.,Home>Laundry,Bosch,9532,4.3,236,{},Home
13,Apple Gaming 3504,Stylish and durable gaming perfect for everyday use.,Electronics>Gaming,Apple,412690,3.6,831,{},Electronics
14,Whirlpool Laundry 5119,Premium laundry designed for comfort and style.,Home>Laundry,Whirlpool,1438,4.5,1149,{},Home
15,Levi's Jewelry 2827,Advanced jewelry with cutting-edge technology and modern design.,Fashion>Jewelry,Levi's,182920,4.2,1528,{},Fashion
16,Whirlpool Cooling 3927,Premium cooling designed for comfort and style.,Home>Cooling,Whirlpool,2944,4.8,1089,{},Home
17,Prestige Furniture 7126,Stylish and durable furniture perfect for everyday use.,Home>Furniture,Prestige,3155,4.2,279,{},Home
18,Zara Accessories 1949,Stylish and durable accessories perfect for everyday use.,Fashion>Accessories,Zara,1201,4.6,1721,{},Fashion
19,Motorola Gaming 3060,Stylish and durable gaming perfect for everyday use.,Electronics>Gaming,Motorola,388255,3.7,1130,{},Electronics
20,Philips Laundry 9835,Stylish and durable laundry perfect for everyday use.,Home>Laundry,Philips,77296,5.0,1380,{},Home
21,Ray-Ban Watches 8397,High-quality watches with premium features and excellent performance.,Fashion>Watches,Ray-Ban,12362,3.6,93,{},Fashion
22,Philips Lighting 4608,High-quality lighting with premium features and excellent performance.,Home>Lighting,Philips,982,3.8,1904,{},Home
23,Oppo Gaming 2160,Premium gaming designed for comfort and style.,Electronics>Gaming,Oppo,14125,4.5,488,{},Electronics
24,Bosch Furniture 8744,Stylish and durable furniture perfect for everyday use.,Home>Furniture,Bosch,313416,3.8,248,{},Home
